,Heading1Key,Heading1Label,Heading1TitleText,Heading2Key,Heading2TitleText,SectionKey,SectionLabel,SectionText,SubsectionKey,SubsectionLabel,SubsectionText,MarginalNoteKey,MarginalNote,ParagraphKey,ParagraphLabel,ParagraphText,SubparagraphKey,SubparagraphLabel,SubparagraphText,ClauseKey,ClauseLabel,ClauseText,SubclauseKey,SubclauseLabel,SubclauseText
0,115006,Short Title,,,,115007,1,This Act may be cited as the Criminal Code.,,,,,,,,,,,,,,,,,
1,115006,Short Title,,,,115007,1,This Act may be cited as the Criminal Code.,,,,115007,Short title,,,,,,,,,,,,
2,115006,Short Title,,,,,,,,,,,,,,,,,,,,,,,
3,115011,Interpretation,,,,115012,2,"In this Act,",,,,,,,,,,,,,,,,,
4,115011,Interpretation,,,,115012,2,"In this Act,",,,,115012,Definitions,,,,,,,,,,,,
5,115011,Interpretation,,,,115224,2.1,"In this Act, ammunition, antique firearm, automatic firearm, cartridge magazine, cross-bow, handgun, imitation firearm, prohibited ammunition, prohibited device, prohibited firearm, prohibited weapon, replica firearm, restricted firearm and restricted weapon, as well as authorization, licence and registration certificate when used in relation to those words and expressions, have the same meaning as in subsection 84(1).",,,,,,,,,,,,,,,,,
6,115011,Interpretation,,,,115224,2.1,"In this Act, ammunition, antique firearm, automatic firearm, cartridge magazine, cross-bow, handgun, imitation firearm, prohibited ammunition, prohibited device, prohibited firearm, prohibited weapon, replica firearm, restricted firearm and restricted weapon, as well as authorization, licence and registration certificate when used in relation to those words and expressions, have the same meaning as in subsection 84(1).",,,,115224,Further definitions — firearms,,,,,,,,,,,,
7,115011,Interpretation,,,,115228,2.2,,115230,(1),"For the purposes of sections 606, 672.5, 715.37, 722, 737.1 and 745.63, any of the following individuals may act on the victim’s behalf if the victim is dead or incapable of acting on their own behalf:",115230,Acting on victim’s behalf,115231,(a),"the victim’s spouse, or if the victim is dead, their spouse at the time of death;",,,,,,,,,
8,115011,Interpretation,,,,115228,2.2,,115230,(1),"For the purposes of sections 606, 672.5, 715.37, 722, 737.1 and 745.63, any of the following individuals may act on the victim’s behalf if the victim is dead or incapable of acting on their own behalf:",115230,Acting on victim’s behalf,115232,(b),"the victim’s common-law partner, or if the victim is dead, their common-law partner at the time of death;",,,,,,,,,
9,115011,Interpretation,,,,115228,2.2,,115230,(1),"For the purposes of sections 606, 672.5, 715.37, 722, 737.1 and 745.63, any of the following individuals may act on the victim’s behalf if the victim is dead or incapable of acting on their own behalf:",115230,Acting on victim’s behalf,115233,(c),a relative or dependant of the victim;,,,,,,,,,
10,115011,Interpretation,,,,115228,2.2,,115230,(1),"For the purposes of sections 606, 672.5, 715.37, 722, 737.1 and 745.63, any of the following individuals may act on the victim’s behalf if the victim is dead or incapable of acting on their own behalf:",115230,Acting on victim’s behalf,115234,(d),"an individual who has in law or fact custody, or is responsible for the care or support, of the victim; and",,,,,,,,,
11,115011,Interpretation,,,,115228,2.2,,115230,(1),"For the purposes of sections 606, 672.5, 715.37, 722, 737.1 and 745.63, any of the following individuals may act on the victim’s behalf if the victim is dead or incapable of acting on their own behalf:",115230,Acting on victim’s behalf,115235,(e),"an individual who has in law or fact custody, or is responsible for the care or support, of a dependant of the victim.",,,,,,,,,
12,115011,Interpretation,,,,115228,2.2,,115236,(2),An individual is not entitled to act on a victim’s behalf if the individual is an accused in relation to the offence or alleged offence that resulted in the victim suffering harm or loss or is an individual who is found guilty of that offence or who is found not criminally responsible on account of mental disorder or unfit to stand trial in respect of that offence.,115236,Exception,,,,,,,,,,,,
13,115011,Interpretation,,,,115240,3,"Where, in any provision of this Act, a reference to another provision of this Act or a provision of any other Act is followed by words in parenthesis that are or purport to be descriptive of the subject-matter of the provision referred to, the words in parenthesis form no part of the provision in which they occur but shall be deemed to have been inserted for convenience of reference only.",,,,,,,,,,,,,,,,,
14,115011,Interpretation,,,,115240,3,"Where, in any provision of this Act, a reference to another provision of this Act or a provision of any other Act is followed by words in parenthesis that are or purport to be descriptive of the subject-matter of the provision referred to, the words in parenthesis form no part of the provision in which they occur but shall be deemed to have been inserted for convenience of reference only.",,,,115240,Descriptive cross-references,,,,,,,,,,,,
15,115011,Interpretation,,,,1201720,2.3,,1201722,(1),The proceedings for the purposes of paragraph (a) of the definition Attorney General in section 2 are,1201722,Concurrent jurisdiction,1201724,(b),"proceedings in relation to an offence against a member of United Nations personnel or associated personnel under section 235, 236, 266 to 269, 269.1, 271 to 273, 279 or 279.1;",,,,,,,,,
16,115011,Interpretation,,,,1201720,2.3,,1201722,(1),The proceedings for the purposes of paragraph (a) of the definition Attorney General in section 2 are,1201722,Concurrent jurisdiction,1201725,(c),"proceedings in relation to an offence referred to in subsection 7(3.71) or in relation to an offence referred to in paragraph (a) of the definition terrorist activity in subsection 83.01(1) if the act or omission constituting the offence was committed outside Canada and is deemed under any of subsections 7(2), (2.1) to (2.21), (3), (3.1), (3.72) and (3.73) to have been committed in Canada;",,,,,,,,,
17,115011,Interpretation,,,,1201720,2.3,,1201722,(1),The proceedings for the purposes of paragraph (a) of the definition Attorney General in section 2 are,1201722,Concurrent jurisdiction,1201726,(d),proceedings in relation to an offence if the act or omission constituting the offence is a terrorist activity referred to in paragraph (b) of the definition terrorist activity in subsection 83.01(1) and was committed outside Canada and is deemed by virtue of subsection 7(3.74) or (3.75) to have been committed in Canada;,,,,,,,,,
18,115011,Interpretation,,,,1201720,2.3,,1201722,(1),The proceedings for the purposes of paragraph (a) of the definition Attorney General in section 2 are,1201722,Concurrent jurisdiction,1201727,(e),"a proceeding in relation to an offence under section 811 that arises out of a breach of a recognizance made under section 810.01 or 810.011, if he or she has given consent to the information referred to in those sections; and",,,,,,,,,
19,115011,Interpretation,,,,1201720,2.3,,1201722,(1),The proceedings for the purposes of paragraph (a) of the definition Attorney General in section 2 are,1201722,Concurrent jurisdiction,1201728,(f),"proceedings under section 83.13, 83.14, 83.222, 83.223 or 83.3.",,,,,,,,,
20,115011,Interpretation,,,,1201720,2.3,,1201722,(1),The proceedings for the purposes of paragraph (a) of the definition Attorney General in section 2 are,1201722,Concurrent jurisdiction,1253504,(a),"proceedings in relation to an offence under subsection 7(2.01), (2.3) or (2.31) or section 57, 58, 83.12, 103, 104, 121.1, 380, 382, 382.1, 391, 400, 424.1, 431.1, 467.11 or 467.111 or in relation to any terrorism offence;",,,,,,,,,
21,115011,Interpretation,,,,1201720,2.3,,1201729,(2),"For greater certainty, the Attorney General of Canada or his or her lawful deputy may, in respect of an offence referred to in subsection (1) or an offence under any Act of Parliament — other than this Act or the Canada Elections Act — or any regulation made under such an Act, exercise all the powers and perform all the duties and functions assigned to the Attorney General by or under this Act, and those powers include the power to commence and to conduct",1201729,For greater certainty — Attorney General of Canada,1201731,(a),a proceeding for conspiring or attempting to commit such an offence or for being an accessory after the fact or counselling a person to be a party to such an offence;,,,,,,,,,
22,115011,Interpretation,,,,1201720,2.3,,1201729,(2),"For greater certainty, the Attorney General of Canada or his or her lawful deputy may, in respect of an offence referred to in subsection (1) or an offence under any Act of Parliament — other than this Act or the Canada Elections Act — or any regulation made under such an Act, exercise all the powers and perform all the duties and functions assigned to the Attorney General by or under this Act, and those powers include the power to commence and to conduct",1201729,For greater certainty — Attorney General of Canada,1201732,(b),"a proceeding in relation to a criminal organization offence that arises out of conduct that relates, in whole or in part, to any offence for which he or she has the power to commence and to conduct a proceeding;",,,,,,,,,
23,115011,Interpretation,,,,1201720,2.3,,1201729,(2),"For greater certainty, the Attorney General of Canada or his or her lawful deputy may, in respect of an offence referred to in subsection (1) or an offence under any Act of Parliament — other than this Act or the Canada Elections Act — or any regulation made under such an Act, exercise all the powers and perform all the duties and functions assigned to the Attorney General by or under this Act, and those powers include the power to commence and to conduct",1201729,For greater certainty — Attorney General of Canada,1201733,(c),"a proceeding in relation to an offence referred to in section 354, 355.2, 355.4 or 462.31 that arises out of conduct that relates, in whole or in part, to any offence for which he or she has the power to commence and to conduct a proceeding or out of any act or omission that, if it had occurred in Canada, would have constituted such an offence;",,,,,,,,,
24,115011,Interpretation,,,,1201720,2.3,,1201729,(2),"For greater certainty, the Attorney General of Canada or his or her lawful deputy may, in respect of an offence referred to in subsection (1) or an offence under any Act of Parliament — other than this Act or the Canada Elections Act — or any regulation made under such an Act, exercise all the powers and perform all the duties and functions assigned to the Attorney General by or under this Act, and those powers include the power to commence and to conduct",1201729,For greater certainty — Attorney General of Canada,1201734,(d),a proceeding for the breach of any court order made in the course of a proceeding commenced or conducted by him or her;,,,,,,,,,
25,115011,Interpretation,,,,1201720,2.3,,1201729,(2),"For greater certainty, the Attorney General of Canada or his or her lawful deputy may, in respect of an offence referred to in subsection (1) or an offence under any Act of Parliament — other than this Act or the Canada Elections Act — or any regulation made under such an Act, exercise all the powers and perform all the duties and functions assigned to the Attorney General by or under this Act, and those powers include the power to commence and to conduct",1201729,For greater certainty — Attorney General of Canada,1201735,(e),a proceeding for the failure to comply with any condition associated with the release of a person by a peace officer or other competent authority — including a condition to appear at a specified time and place — in relation to any offence for which he or she has the power to commence and to conduct a proceeding; and,,,,,,,,,
26,115011,Interpretation,,,,1201720,2.3,,1201729,(2),"For greater certainty, the Attorney General of Canada or his or her lawful deputy may, in respect of an offence referred to in subsection (1) or an offence under any Act of Parliament — other than this Act or the Canada Elections Act — or any regulation made under such an Act, exercise all the powers and perform all the duties and functions assigned to the Attorney General by or under this Act, and those powers include the power to commence and to conduct",1201729,For greater certainty — Attorney General of Canada,1201736,(f),any ancillary proceedings in relation to any offence for which he or she has the power to commence and to conduct a proceeding.,,,,,,,,,
27,115011,Interpretation,,,,1201720,2.3,,1201737,(3),"For greater certainty, in respect of an offence under the Canada Elections Act, the Director of Public Prosecutions, subject to the Director of Public Prosecutions Act, exercises the powers and performs the duties and functions of the Attorney General of Canada referred to in subsection (2).",1201737,For greater certainty — Director of Public Prosecutions,,,,,,,,,,,,
28,115011,Interpretation,,,,,,,,,,,,,,,,,,,,,,,
29,115244,Part I,,115245,General,115246,3.1,,1201744,(1),"Unless otherwise provided or ordered, anything done by a court, justice or judge is effective from the moment it is done, whether or not it is reduced to writing.",1201744,Effect of judicial acts,,,,,,,,,,,,
30,115244,Part I,,115245,General,115246,3.1,,1201745,(2),"Unless otherwise provided or ordered, if anything is done from the bench by a court, justice or judge and it is reduced to writing, the clerk of the court may sign the writing.",1201745,Clerk of the court,,,,,,,,,,,,
31,115244,Part I,,115245,General,115250,4,,115252,(1),"For the purposes of this Act, a postal card or stamp referred to in paragraph (c) of the definition property in section 2 shall be deemed to be a chattel and to be equal in value to the amount of the postage, rate or duty expressed on its face.",115252,"Postcard a chattel, value",,,,,,,,,,,,
32,115244,Part I,,115245,General,115250,4,,115253,(2),"For the purposes of this Act, the following rules apply for the purpose of determining the value of a valuable security where value is material:",115253,Value of valuable security,115255,(a),"where the valuable security is one mentioned in paragraph (a) or (b) of the definition valuable security in section 2, the value is the value of the share, interest, deposit or unpaid money, as the case may be, that is secured by the valuable security;",,,,,,,,,
33,115244,Part I,,115245,General,115250,4,,115253,(2),"For the purposes of this Act, the following rules apply for the purpose of determining the value of a valuable security where value is material:",115253,Value of valuable security,115256,(b),"where the valuable security is one mentioned in paragraph (c) or (d) of the definition valuable security in section 2, the value is the value of the lands, goods, chattel personal or interest in the chattel personal, as the case may be; and",,,,,,,,,
34,115244,Part I,,115245,General,115250,4,,115253,(2),"For the purposes of this Act, the following rules apply for the purpose of determining the value of a valuable security where value is material:",115253,Value of valuable security,115257,(c),"where the valuable security is one mentioned in paragraph (e) of the definition valuable security in section 2, the value is the amount of money that has been paid.",,,,,,,,,
35,115244,Part I,,115245,General,115250,4,,115258,(3),"For the purposes of this Act,",115258,Possession,115260,(a),a person has anything in possession when he has it in his personal possession or knowingly,115261,(i),"has it in the actual possession or custody of another person, or",,,,,,
36,115244,Part I,,115245,General,115250,4,,115258,(3),"For the purposes of this Act,",115258,Possession,115260,(a),a person has anything in possession when he has it in his personal possession or knowingly,115262,(ii),"has it in any place, whether or not that place belongs to or is occupied by him, for the use or benefit of himself or of another person; and",,,,,,
37,115244,Part I,,115245,General,115250,4,,115258,(3),"For the purposes of this Act,",115258,Possession,115263,(b),"where one of two or more persons, with the knowledge and consent of the rest, has anything in his custody or possession, it shall be deemed to be in the custody and possession of each and all of them.",,,,,,,,,
38,115244,Part I,,115245,General,115250,4,,115264,(4),"Where an offence that is dealt with in this Act relates to a subject that is dealt with in another Act, the words and expressions used in this Act with respect to that offence have, subject to this Act, the meaning assigned to them in that other Act.",115264,Expressions taken from other Acts,,,,,,,,,,,,
39,115244,Part I,,115245,General,115250,4,,115266,(5),"For the purposes of this Act, sexual intercourse is complete on penetration to even the slightest degree, notwithstanding that seed is not emitted.",115266,Sexual intercourse,,,,,,,,,,,,
40,115244,Part I,,115245,General,115250,4,,115268,(6),"For the purposes of this Act, the service of any document and the giving or sending of any notice may be proved",115268,Proof of notifications and service of documents,115270,(a),"by oral evidence given under oath by, or by the affidavit or solemn declaration of, the person claiming to have served, given or sent it; or",,,,,,,,,
41,115244,Part I,,115245,General,115250,4,,115268,(6),"For the purposes of this Act, the service of any document and the giving or sending of any notice may be proved",115268,Proof of notifications and service of documents,115271,(b),"in the case of a peace officer, by a statement in writing certifying that the document was served or the notice was given or sent by the peace officer, and such a statement is deemed to be a statement made under oath.",,,,,,,,,
42,115244,Part I,,115245,General,115250,4,,115272,(6.1),"Despite subsection (6), the service of documents may be proved in accordance with the laws of a province relating to offences created by the laws of that province.",115272,Proof of service in accordance with provincial laws,,,,,,,,,,,,
43,115244,Part I,,115245,General,115250,4,,115274,(7),"Despite subsection (6) or (6.1), the court may require the person who appears to have signed an affidavit, a solemn declaration or a statement in accordance with that subsection to appear before it for examination or cross-examination in respect of the issue of proof of service or of the giving or sending of any notice.",115274,Attendance for examination,,,,,,,,,,,,
44,115244,Part I,,115245,General,115250,4,,115276,(8),"For greater certainty, for the purposes of this Act, if the elements of an offence contain an explicit or implicit element of communication without specifying the means of communication, the communication may also be made by a means of telecommunication.",115276,Means of telecommunication,,,,,,,,,,,,
45,115244,Part I,,115245,General,115280,5,Nothing in this Act affects any law relating to the government of the Canadian Forces.,,,,,,,,,,,,,,,,,
46,115244,Part I,,115245,General,115280,5,Nothing in this Act affects any law relating to the government of the Canadian Forces.,,,,115280,Canadian Forces not affected,,,,,,,,,,,,
47,115244,Part I,,115245,General,115284,6,,115286,(1),"Where an enactment creates an offence and authorizes a punishment to be imposed in respect of that offence,",115286,Presumption of innocence,115287,(a),a person shall be deemed not to be guilty of the offence until he is convicted or discharged under section 730 of the offence; and,,,,,,,,,
48,115244,Part I,,115245,General,115284,6,,115286,(1),"Where an enactment creates an offence and authorizes a punishment to be imposed in respect of that offence,",115286,Presumption of innocence,115288,(b),a person who is convicted or discharged under section 730 of the offence is not liable to any punishment in respect thereof other than the punishment prescribed by this Act or by the enactment that creates the offence.,,,,,,,,,
49,115244,Part I,,115245,General,115284,6,,115289,(2),"Subject to this Act or any other Act of Parliament, no person shall be convicted or discharged under section 730 of an offence committed outside Canada.",115289,Offences outside Canada,,,,,,,,,,,,
50,115244,Part I,,115245,General,115284,6,,115291,(3),"In this section, enactment means",115291,Definition of enactment,115293,(a),"an Act of Parliament, or",,,,,,,,,
51,115244,Part I,,115245,General,115284,6,,115291,(3),"In this section, enactment means",115291,Definition of enactment,115294,(b),"an Act of the legislature of a province that creates an offence to which Part XXVII applies,",,,,,,,,,
52,115244,Part I,,115245,General,115298,7,,115300,(1),"Notwithstanding anything in this Act or any other Act, every one who",115300,Offences committed on aircraft,115301,(a),on or in respect of an aircraft,115302,(i),"registered in Canada under regulations made under the Aeronautics Act, or",,,,,,
53,115244,Part I,,115245,General,115298,7,,115300,(1),"Notwithstanding anything in this Act or any other Act, every one who",115300,Offences committed on aircraft,115301,(a),on or in respect of an aircraft,115303,(ii),"leased without crew and operated by a person who is qualified under regulations made under the Aeronautics Act to be registered as owner of an aircraft registered in Canada under those regulations,",,,,,,
54,115244,Part I,,115245,General,115298,7,,115300,(1),"Notwithstanding anything in this Act or any other Act, every one who",115300,Offences committed on aircraft,115305,(b),"on any aircraft, while the aircraft is in flight if the flight terminated in Canada,",,,,,,,,,
55,115244,Part I,,115245,General,115298,7,,115307,(2),"Notwithstanding this Act or any other Act, every one who",115307,Idem,115309,(a),"on an aircraft, while the aircraft is in flight, commits an act or omission outside Canada that if committed in Canada or on an aircraft registered in Canada under regulations made under the Aeronautics Act would be an offence against section 76 or paragraph 77(a),",,,,,,,,,
56,115244,Part I,,115245,General,115298,7,,115307,(2),"Notwithstanding this Act or any other Act, every one who",115307,Idem,115310,(b),"in relation to an aircraft in service, commits an act or omission outside Canada that if committed in Canada would be an offence against any of paragraphs 77(c), (d) or (g),",,,,,,,,,
57,115244,Part I,,115245,General,115298,7,,115307,(2),"Notwithstanding this Act or any other Act, every one who",115307,Idem,115311,(c),"in relation to an air navigation facility used in international air navigation, commits an act or omission outside Canada that if committed in Canada would be an offence against paragraph 77(e),",,,,,,,,,
58,115244,Part I,,115245,General,115298,7,,115307,(2),"Notwithstanding this Act or any other Act, every one who",115307,Idem,115312,(d),"at or in relation to an airport serving international civil aviation, commits an act or omission outside Canada that if committed in Canada would be an offence against paragraph 77(b) or (f), or",,,,,,,,,
59,115244,Part I,,115245,General,115298,7,,115307,(2),"Notwithstanding this Act or any other Act, every one who",115307,Idem,115313,(e),"commits an act or omission outside Canada that if committed in Canada would constitute a conspiracy or an attempt to commit an offence referred to in this subsection, or being an accessory after the fact or counselling in relation to such an offence,",,,,,,,,,
60,115244,Part I,,115245,General,115298,7,,115315,(2.01),"Despite anything in this Act or any other Act, a person who commits an act or omission outside Canada that if committed in Canada would constitute an offence under section 322, 341, 344, 380, 430 or 434 in relation to cultural property as defined in Article 1 of the Convention, or a conspiracy or an attempt to commit such an offence, or being an accessory after the fact or counselling in relation to such an offence, is deemed to have committed that act or omission in Canada if the person",115315,Offences in relation to cultural property,115317,(a),is a Canadian citizen;,,,,,,,,,
61,115244,Part I,,115245,General,115298,7,,115315,(2.01),"Despite anything in this Act or any other Act, a person who commits an act or omission outside Canada that if committed in Canada would constitute an offence under section 322, 341, 344, 380, 430 or 434 in relation to cultural property as defined in Article 1 of the Convention, or a conspiracy or an attempt to commit such an offence, or being an accessory after the fact or counselling in relation to such an offence, is deemed to have committed that act or omission in Canada if the person",115315,Offences in relation to cultural property,115318,(b),is not a citizen of any state and ordinarily resides in Canada; or,,,,,,,,,
62,115244,Part I,,115245,General,115298,7,,115315,(2.01),"Despite anything in this Act or any other Act, a person who commits an act or omission outside Canada that if committed in Canada would constitute an offence under section 322, 341, 344, 380, 430 or 434 in relation to cultural property as defined in Article 1 of the Convention, or a conspiracy or an attempt to commit such an offence, or being an accessory after the fact or counselling in relation to such an offence, is deemed to have committed that act or omission in Canada if the person",115315,Offences in relation to cultural property,115319,(c),"is a permanent resident within the meaning of subsection 2(1) of the Immigration and Refugee Protection Act and is, after the commission of the act or omission, present in Canada.",,,,,,,,,
63,115244,Part I,,115245,General,115298,7,,115320,(2.02),"For the purpose of subsection (2.01), Convention means the Convention for the Protection of Cultural Property in the Event of Armed Conflict, done at The Hague on May 14, 1954. Article 1 of the Convention is set out in the schedule to the Cultural Property Export and Import Act.",115320,Definition of Convention,,,,,,,,,,,,
64,115244,Part I,,115245,General,115298,7,,115322,(2.1),"Notwithstanding anything in this Act or any other Act, every one who commits an act or omission outside Canada against or on board a fixed platform attached to the continental shelf of any state or against or on board a ship navigating or scheduled to navigate beyond the territorial sea of any state, that if committed in Canada would constitute an offence against, a conspiracy or an attempt to commit an offence against, or being an accessory after the fact or counselling in relation to an offence against, section 78.1, shall be deemed to commit that act or omission in Canada if it is committed",115322,Offences against fixed platforms or international maritime navigation,115324,(a),against or on board a fixed platform attached to the continental shelf of Canada;,,,,,,,,,
65,115244,Part I,,115245,General,115298,7,,115322,(2.1),"Notwithstanding anything in this Act or any other Act, every one who commits an act or omission outside Canada against or on board a fixed platform attached to the continental shelf of any state or against or on board a ship navigating or scheduled to navigate beyond the territorial sea of any state, that if committed in Canada would constitute an offence against, a conspiracy or an attempt to commit an offence against, or being an accessory after the fact or counselling in relation to an offence against, section 78.1, shall be deemed to commit that act or omission in Canada if it is committed",115322,Offences against fixed platforms or international maritime navigation,115325,(b),"against or on board a ship registered or licensed, or for which an identification number has been issued, pursuant to any Act of Parliament;",,,,,,,,,
